past_year;year;segment
"]80% ; 90%]";"]80% ; 90%]";yellows
"]80% ; 90%]";"]90% ; 100%]";light_reds
"]80% ; 90%]";"<=0";light_reds
"]80% ; 90%]";"NE/DfR";blue_brown
"]90% ; 100%]";"]0% ; 10%]";dark_greens
"]90% ; 100%]";"]10% ; 20%]";dark_greens
"]90% ; 100%]";"]20% ; 30%]";dark_greens
"]90% ; 100%]";"]30% ; 40%]";dark_greens
"]90% ; 100%]";"]40% ; 50%]";dark_greens
"]90% ; 100%]";"]50% ; 60%]";light_greens
"]90% ; 100%]";"]60% ; 70%]";light_greens
"]90% ; 100%]";"]70% ; 80%]";light_greens
"]90% ; 100%]";"]80% ; 90%]";light_greens
"]90% ; 100%]";"]90% ; 100%]";yellows
"]90% ; 100%]";"<=0";light_reds
"]90% ; 100%]";"NE/DfR";blue_brown
"<=0";"]0% ; 10%]";dark_greens
"<=0";"]10% ; 20%]";dark_greens
"<=0";"]20% ; 30%]";dark_greens
"<=0";"]30% ; 40%]";dark_greens
"<=0";"]40% ; 50%]";dark_greens
"<=0";"]50% ; 60%]";light_greens
"<=0";"]60% ; 70%]";light_greens
"<=0";"]70% ; 80%]";light_greens
"<=0";"]80% ; 90%]";light_greens
"<=0";"]90% ; 100%]";light_greens
"<=0";"<=0";yellows
"<=0";"NE/DfR";blue_brown
"NE/DfR";"]0% ; 10%]";blue_brown
"NE/DfR";"]10% ; 20%]";blue_brown
"NE/DfR";"]20% ; 30%]";blue_brown
"NE/DfR";"]30% ; 40%]";blue_brown
"NE/DfR";"]40% ; 50%]";blue_brown
"NE/DfR";"]50% ; 60%]";blue_brown
"NE/DfR";"]60% ; 70%]";blue_brown
"NE/DfR";"]70% ; 80%]";blue_brown
"NE/DfR";"]80% ; 90%]";blue_brown
"NE/DfR";"]90% ; 100%]";blue_brown
"NE/DfR";"<=0";blue_brown
"NE/DfR";"NE/DfR";blue_brown
