name;measure;value_2020;value_2021;value_2022;value_2023;rank_2020;rank_2021;rank_2022;rank_2023;matrix_class_2020;matrix_class_2021;matrix_class_2022;matrix_class_2023
Caixa Econômica Federal;assets_m;321486.0;0.0;0.0;300664.0;95.0;0.0;0.0;97.0;"]70% ; 80%]";na_class;na_class;"]70% ; 80%]"
Caixa Econômica Federal;employees;84066.0;0.0;0.0;86959.0;279.0;0.0;0.0;261.0;"]80% ; 90%]";na_class;na_class;"]80% ; 90%]"
Caixa Econômica Federal;profits_m;5339.0;0.0;0.0;1894.0;108.0;0.0;0.0;278.0;"]60% ; 70%]";na_class;na_class;"]90% ; 100%]"
Caixa Econômica Federal;revenues_m;38407.0;0.0;0.0;37066.0;324.0;0.0;0.0;403.0;"]80% ; 90%]";na_class;na_class;"]90% ; 100%]"
Canadian Natural Resources;assets_m;0.0;0.0;0.0;56206.0;0.0;0.0;0.0;345.0;na_class;na_class;na_class;"]90% ; 100%]"
Canadian Natural Resources;employees;0.0;0.0;0.0;10035.0;0.0;0.0;0.0;468.0;na_class;na_class;na_class;"]90% ; 100%]"
Canadian Natural Resources;profits_m;0.0;0.0;0.0;8404.0;0.0;0.0;0.0;92.0;na_class;na_class;na_class;"]60% ; 70%]"
Canadian Natural Resources;revenues_m;0.0;0.0;0.0;32503.0;0.0;0.0;0.0;468.0;na_class;na_class;na_class;"]90% ; 100%]"
Canon;assets_m;43883.0;44813.0;41265.0;0.0;373.0;389.0;403.0;0.0;"]90% ; 100%]";"]90% ; 100%]";"]90% ; 100%]";na_class
Canon;employees;187041.0;181897.0;184034.0;0.0;112.0;112.0;111.0;0.0;"]50% ; 60%]";"]50% ; 60%]";"]50% ; 60%]";na_class
Canon;profits_m;1148.0;780.0;1956.0;0.0;320.0;321.0;304.0;0.0;"]90% ; 100%]";"]90% ; 100%]";"]90% ; 100%]";na_class
Canon;revenues_m;32961.0;29599.0;32005.0;0.0;378.0;413.0;444.0;0.0;"]80% ; 90%]";"]90% ; 100%]";"]90% ; 100%]";na_class
Capital One Financial;assets_m;390365.0;421602.0;432381.0;455249.0;79.0;78.0;73.0;64.0;"]60% ; 70%]";"]70% ; 80%]";"]60% ; 70%]";"]60% ; 70%]"
Capital One Financial;employees;51900.0;51985.0;50767.0;55943.0;356.0;354.0;350.0;338.0;"]90% ; 100%]";"]90% ; 100%]";"]90% ; 100%]";"]90% ; 100%]"
Capital One Financial;profits_m;5546.0;2714.0;12390.0;7360.0;103.0;186.0;65.0;107.0;"]60% ; 70%]";"]80% ; 90%]";"]50% ; 60%]";"]70% ; 80%]"
Capital One Financial;revenues_m;33766.0;31643.0;32033.0;38373.0;370.0;388.0;443.0;383.0;"]80% ; 90%]";"]90% ; 100%]";"]90% ; 100%]";"]90% ; 100%]"
CarMax;assets_m;0.0;0.0;26338.0;26183.0;0.0;0.0;450.0;447.0;na_class;na_class;"]90% ; 100%]";"]90% ; 100%]"
CarMax;employees;0.0;0.0;32647.0;30621.0;0.0;0.0;415.0;420.0;na_class;na_class;"]90% ; 100%]";"]90% ; 100%]"
CarMax;profits_m;0.0;0.0;1151.0;485.0;0.0;0.0;359.0;395.0;na_class;na_class;"]90% ; 100%]";"]90% ; 100%]"
CarMax;revenues_m;0.0;0.0;33197.0;31126.0;0.0;0.0;432.0;495.0;na_class;na_class;"]90% ; 100%]";"]90% ; 100%]"
Cardinal Health;assets_m;40963.0;40766.0;44453.0;43878.0;391.0;404.0;386.0;383.0;"]90% ; 100%]";"]90% ; 100%]";"]90% ; 100%]";"]90% ; 100%]"
Cardinal Health;employees;49500.0;48000.0;46827.0;46035.0;362.0;372.0;365.0;364.0;"]90% ; 100%]";"]90% ; 100%]";"]90% ; 100%]";"]90% ; 100%]"
Cardinal Health;profits_m;1363.0;-3696.0;611.0;-933.0;300.0;463.0;402.0;472.0;"]90% ; 100%]";<=0;"]90% ; 100%]";<=0
Cardinal Health;revenues_m;145534.0;152922.0;162467.0;181364.0;37.0;30.0;36.0;34.0;"]20% ; 30%]";"]20% ; 30%]";"]20% ; 30%]";"]20% ; 30%]"
Carrefour;assets_m;57020.0;58238.0;54199.0;60340.0;316.0;340.0;355.0;333.0;"]90% ; 100%]";"]90% ; 100%]";"]90% ; 100%]";"]90% ; 100%]"
Carrefour;employees;321383.0;322164.0;319565.0;334640.0;43.0;43.0;44.0;44.0;"]30% ; 40%]";"]30% ; 40%]";"]30% ; 40%]";"]30% ; 40%]"
Carrefour;profits_m;1264.0;730.0;1268.0;1418.0;312.0;329.0;352.0;314.0;"]90% ; 100%]";"]90% ; 100%]";"]90% ; 100%]";"]90% ; 100%]"
Carrefour;revenues_m;85905.0;82211.0;87831.0;90062.0;98.0;96.0;119.0;125.0;"]40% ; 50%]";"]40% ; 50%]";"]50% ; 60%]";"]50% ; 60%]"
Caterpillar;assets_m;78453.0;78324.0;82793.0;81943.0;265.0;281.0;280.0;272.0;"]90% ; 100%]";"]90% ; 100%]";"]90% ; 100%]";"]90% ; 100%]"
Caterpillar;employees;102300.0;97300.0;107700.0;109100.0;225.0;235.0;210.0;208.0;"]70% ; 80%]";"]80% ; 90%]";"]70% ; 80%]";"]70% ; 80%]"
Caterpillar;profits_m;6093.0;2998.0;6489.0;6705.0;92.0;171.0;135.0;124.0;"]60% ; 70%]";"]80% ; 90%]";"]70% ; 80%]";"]70% ; 80%]"
Caterpillar;revenues_m;53800.0;41748.0;50971.0;59427.0;204.0;283.0;265.0;229.0;"]60% ; 70%]";"]70% ; 80%]";"]70% ; 80%]";"]70% ; 80%]"
Cathay Financial Holding;assets_m;335796.0;389960.0;418358.0;0.0;90.0;81.0;75.0;0.0;"]70% ; 80%]";"]70% ; 80%]";"]60% ; 70%]";na_class
Cathay Financial Holding;employees;56764.0;57848.0;57100.0;0.0;348.0;341.0;338.0;0.0;"]90% ; 100%]";"]90% ; 100%]";"]90% ; 100%]";na_class
Cathay Financial Holding;profits_m;2031.0;2533.0;4995.0;0.0;247.0;193.0;178.0;0.0;"]90% ; 100%]";"]80% ; 90%]";"]80% ; 90%]";na_class
Cathay Financial Holding;revenues_m;33511.0;35124.0;37534.0;0.0;372.0;346.0;376.0;0.0;"]80% ; 90%]";"]80% ; 90%]";"]80% ; 90%]";na_class
Cedar Holdings Group;assets_m;16737.0;18875.0;0.0;0.0;471.0;470.0;0.0;0.0;"]90% ; 100%]";"]90% ; 100%]";na_class;na_class
Cedar Holdings Group;employees;30984.0;23856.0;0.0;0.0;412.0;443.0;0.0;0.0;"]90% ; 100%]";"]90% ; 100%]";na_class;na_class
Cedar Holdings Group;profits_m;122.0;50.0;0.0;0.0;422.0;412.0;0.0;0.0;"]90% ; 100%]";"]90% ; 100%]";na_class;na_class
Cedar Holdings Group;revenues_m;41277.0;33837.0;0.0;0.0;294.0;359.0;0.0;0.0;"]80% ; 90%]";"]80% ; 90%]";na_class;na_class
Cencora;assets_m;39172.0;44275.0;57338.0;56561.0;401.0;395.0;349.0;344.0;"]90% ; 100%]";"]90% ; 100%]";"]90% ; 100%]";"]90% ; 100%]"
Cencora;employees;21500.0;21500.0;40000.0;41500.0;441.0;453.0;383.0;377.0;"]90% ; 100%]";"]90% ; 100%]";"]90% ; 100%]";"]90% ; 100%]"
Cencora;profits_m;855.0;-3409.0;1540.0;1699.0;341.0;460.0;334.0;288.0;"]90% ; 100%]";<=0;"]90% ; 100%]";"]90% ; 100%]"
Cencora;revenues_m;179589.0;189894.0;213989.0;238587.0;23.0;17.0;21.0;24.0;"]10% ; 20%]";"]10% ; 20%]";"]10% ; 20%]";"]20% ; 30%]"
Cenovus Energy;assets_m;0.0;0.0;42848.0;41241.0;0.0;0.0;396.0;399.0;na_class;na_class;"]90% ; 100%]";"]90% ; 100%]"
Cenovus Energy;employees;0.0;0.0;5938.0;5998.0;0.0;0.0;484.0;480.0;na_class;na_class;"]90% ; 100%]";"]90% ; 100%]"
Cenovus Energy;profits_m;0.0;0.0;468.0;4956.0;0.0;0.0;418.0;162.0;na_class;na_class;"]90% ; 100%]";"]80% ; 90%]"
Cenovus Energy;revenues_m;0.0;0.0;36979.0;51406.0;0.0;0.0;384.0;275.0;na_class;na_class;"]90% ; 100%]";"]70% ; 80%]"
Centene;assets_m;40994.0;68719.0;78375.0;76870.0;390.0;305.0;297.0;283.0;"]90% ; 100%]";"]90% ; 100%]";"]90% ; 100%]";"]90% ; 100%]"
Centene;employees;56600.0;71300.0;72500.0;74300.0;349.0;307.0;302.0;291.0;"]90% ; 100%]";"]80% ; 90%]";"]80% ; 90%]";"]80% ; 90%]"
Centene;profits_m;1321.0;1808.0;1347.0;1202.0;306.0;236.0;345.0;333.0;"]90% ; 100%]";"]90% ; 100%]";"]90% ; 100%]";"]90% ; 100%]"
Centene;revenues_m;74639.0;111115.0;125982.0;144547.0;127.0;57.0;66.0;60.0;"]50% ; 60%]";"]30% ; 40%]";"]30% ; 40%]";"]30% ; 40%]"
Centrica;assets_m;24045.0;23402.0;0.0;0.0;451.0;460.0;0.0;0.0;"]90% ; 100%]";"]90% ; 100%]";na_class;na_class
Centrica;employees;29147.0;25753.0;0.0;0.0;420.0;438.0;0.0;0.0;"]90% ; 100%]";"]90% ; 100%]";na_class;na_class
Centrica;profits_m;-1305.0;53.0;0.0;0.0;463.0;411.0;0.0;0.0;<=0;"]90% ; 100%]";na_class;na_class
Centrica;revenues_m;28934.0;26702.0;0.0;0.0;438.0;457.0;0.0;0.0;"]90% ; 100%]";"]90% ; 100%]";na_class;na_class
Charter Communications;assets_m;148188.0;144206.0;142491.0;144523.0;176.0;190.0;196.0;183.0;"]80% ; 90%]";"]80% ; 90%]";"]80% ; 90%]";"]80% ; 90%]"
Charter Communications;employees;95100.0;96100.0;93700.0;101700.0;250.0;242.0;247.0;226.0;"]80% ; 90%]";"]80% ; 90%]";"]80% ; 90%]";"]80% ; 90%]"
Charter Communications;profits_m;1668.0;3222.0;4654.0;5055.0;276.0;158.0;191.0;157.0;"]90% ; 100%]";"]80% ; 90%]";"]80% ; 90%]";"]80% ; 90%]"
Charter Communications;revenues_m;45764.0;48097.0;51682.0;54022.0;258.0;230.0;259.0;260.0;"]70% ; 80%]";"]70% ; 80%]";"]70% ; 80%]";"]70% ; 80%]"
ChemChina;assets_m;121160.0;131406.0;0.0;0.0;205.0;207.0;0.0;0.0;"]80% ; 90%]";"]80% ; 90%]";na_class;na_class
ChemChina;employees;145526.0;141250.0;0.0;0.0;151.0;152.0;0.0;0.0;"]60% ; 70%]";"]60% ; 70%]";na_class;na_class
ChemChina;profits_m;-1251.0;-816.0;0.0;0.0;461.0;443.0;0.0;0.0;<=0;<=0;na_class;na_class
ChemChina;revenues_m;65767.0;60492.0;0.0;0.0;164.0;161.0;0.0;0.0;"]60% ; 70%]";"]50% ; 60%]";na_class;na_class
Chengdu Xingcheng Investment Group;assets_m;0.0;0.0;148296.0;157644.0;0.0;0.0;191.0;172.0;na_class;na_class;"]80% ; 90%]";"]80% ; 90%]"
Chengdu Xingcheng Investment Group;employees;0.0;0.0;38076.0;39094.0;0.0;0.0;392.0;386.0;na_class;na_class;"]90% ; 100%]";"]90% ; 100%]"
Chengdu Xingcheng Investment Group;profits_m;0.0;0.0;342.0;186.0;0.0;0.0;436.0;438.0;na_class;na_class;"]90% ; 100%]";"]90% ; 100%]"
Chengdu Xingcheng Investment Group;revenues_m;0.0;0.0;30553.0;31304.0;0.0;0.0;466.0;490.0;na_class;na_class;"]90% ; 100%]";"]90% ; 100%]"
Cheniere Energy;assets_m;0.0;0.0;0.0;41266.0;0.0;0.0;0.0;397.0;na_class;na_class;na_class;"]90% ; 100%]"
Cheniere Energy;employees;0.0;0.0;0.0;1551.0;0.0;0.0;0.0;490.0;na_class;na_class;na_class;"]90% ; 100%]"
Cheniere Energy;profits_m;0.0;0.0;0.0;1428.0;0.0;0.0;0.0;310.0;na_class;na_class;na_class;"]90% ; 100%]"
Cheniere Energy;revenues_m;0.0;0.0;0.0;33428.0;0.0;0.0;0.0;455.0;na_class;na_class;na_class;"]90% ; 100%]"
Chevron;assets_m;237428.0;239790.0;239535.0;257709.0;125.0;129.0;127.0;106.0;"]70% ; 80%]";"]80% ; 90%]";"]80% ; 90%]";"]70% ; 80%]"
Chevron;employees;48200.0;47736.0;42595.0;43846.0;364.0;373.0;379.0;372.0;"]90% ; 100%]";"]90% ; 100%]";"]90% ; 100%]";"]90% ; 100%]"
Chevron;profits_m;2924.0;-5543.0;15625.0;35465.0;209.0;470.0;49.0;14.0;"]80% ; 90%]";<=0;"]40% ; 50%]";"]20% ; 30%]"
Chevron;revenues_m;146516.0;94692.0;162465.0;246252.0;36.0;75.0;37.0;23.0;"]20% ; 30%]";"]30% ; 40%]";"]20% ; 30%]";"]20% ; 30%]"
China Aerospace Science & Industry;assets_m;50065.0;58852.0;79845.0;75170.0;342.0;339.0;293.0;291.0;"]90% ; 100%]";"]90% ; 100%]";"]90% ; 100%]";"]90% ; 100%]"
China Aerospace Science & Industry;employees;147712.0;145148.0;141678.0;141260.0;146.0;149.0;157.0;157.0;"]60% ; 70%]";"]60% ; 70%]";"]60% ; 70%]";"]60% ; 70%]"
China Aerospace Science & Industry;profits_m;1959.0;1955.0;2108.0;2167.0;255.0;219.0;290.0;266.0;"]90% ; 100%]";"]90% ; 100%]";"]90% ; 100%]";"]90% ; 100%]"
China Aerospace Science & Industry;revenues_m;37604.0;37697.0;40856.0;37371.0;330.0;320.0;341.0;397.0;"]80% ; 90%]";"]80% ; 90%]";"]80% ; 90%]";"]90% ; 100%]"
China Aerospace Science & Technology;assets_m;68555.0;79504.0;95825.0;0.0;285.0;279.0;253.0;0.0;"]90% ; 100%]";"]90% ; 100%]";"]90% ; 100%]";na_class
China Aerospace Science & Technology;employees;177905.0;179085.0;180521.0;0.0;117.0;118.0;118.0;0.0;"]50% ; 60%]";"]50% ; 60%]";"]50% ; 60%]";na_class
China Aerospace Science & Technology;profits_m;2628.0;2735.0;3099.0;0.0;222.0;185.0;246.0;0.0;"]80% ; 90%]";"]80% ; 90%]";"]90% ; 100%]";na_class
China Aerospace Science & Technology;revenues_m;36209.0;38742.0;43420.0;0.0;350.0;307.0;322.0;0.0;"]80% ; 90%]";"]80% ; 90%]";"]80% ; 90%]";na_class
China Baowu Steel Group;assets_m;123777.0;155413.0;175861.0;179760.0;202.0;177.0;165.0;155.0;"]80% ; 90%]";"]80% ; 90%]";"]80% ; 90%]";"]80% ; 90%]"
China Baowu Steel Group;employees;196378.0;234570.0;230884.0;245675.0;101.0;82.0;83.0;72.0;"]50% ; 60%]";"]40% ; 50%]";"]40% ; 50%]";"]40% ; 50%]"
China Baowu Steel Group;profits_m;2901.0;3629.0;2995.0;2493.0;210.0;142.0;252.0;250.0;"]80% ; 90%]";"]70% ; 80%]";"]90% ; 100%]";"]90% ; 100%]"
China Baowu Steel Group;revenues_m;79932.0;97643.0;150730.0;161698.0;111.0;72.0;44.0;44.0;"]40% ; 50%]";"]30% ; 40%]";"]20% ; 30%]";"]30% ; 40%]"
China Communications Construction;assets_m;232053.0;306555.0;353172.0;344369.0;130.0;110.0;94.0;85.0;"]80% ; 90%]";"]70% ; 80%]";"]70% ; 80%]";"]70% ; 80%]"
China Communications Construction;employees;197309.0;213438.0;220519.0;221017.0;100.0;93.0;86.0;89.0;"]50% ; 60%]";"]50% ; 60%]";"]40% ; 50%]";"]50% ; 60%]"
China Communications Construction;profits_m;1333.0;1165.0;1397.0;1255.0;303.0;292.0;344.0;325.0;"]90% ; 100%]";"]90% ; 100%]";"]90% ; 100%]";"]90% ; 100%]"
China Communications Construction;revenues_m;95096.0;106868.0;130664.0;138270.0;78.0;61.0;60.0;63.0;"]40% ; 50%]";"]30% ; 40%]";"]30% ; 40%]";"]30% ; 40%]"
China Construction Bank;assets_m;3651645.0;4311457.0;4762831.0;5016806.0;2.0;2.0;2.0;2.0;"]0% ; 10%]";"]0% ; 10%]";"]0% ; 10%]";"]0% ; 10%]"
China Construction Bank;employees;370169.0;373814.0;375531.0;376682.0;33.0;28.0;29.0;34.0;"]20% ; 30%]";"]20% ; 30%]";"]20% ; 30%]";"]20% ; 30%]"
China Construction Bank;profits_m;38610.0;39283.0;46899.0;48145.0;6.0;8.0;8.0;8.0;"]10% ; 20%]";"]10% ; 20%]";"]10% ; 20%]";"]10% ; 20%]"
China Construction Bank;revenues_m;158884.0;172000.0;200434.0;202753.0;30.0;25.0;24.0;29.0;"]20% ; 30%]";"]10% ; 20%]";"]10% ; 20%]";"]20% ; 30%]"
China Datang;assets_m;108896.0;122079.0;130691.0;123159.0;224.0;218.0;214.0;204.0;"]90% ; 100%]";"]90% ; 100%]";"]80% ; 90%]";"]80% ; 90%]"
China Datang;employees;95748.0;100721.0;91005.0;89210.0;247.0;223.0;253.0;256.0;"]80% ; 90%]";"]70% ; 80%]";"]80% ; 90%]";"]80% ; 90%]"
China Datang;profits_m;427.0;317.0;-2904.0;182.0;385.0;376.0;483.0;439.0;"]90% ; 100%]";"]90% ; 100%]";<=0;"]90% ; 100%]"
China Datang;revenues_m;27464.0;27928.0;34700.0;37606.0;463.0;434.0;411.0;393.0;"]90% ; 100%]";"]90% ; 100%]";"]90% ; 100%]";"]90% ; 100%]"
China Electronics;assets_m;47019.0;53588.0;62094.0;61129.0;358.0;352.0;333.0;327.0;"]90% ; 100%]";"]90% ; 100%]";"]90% ; 100%]";"]90% ; 100%]"
China Electronics;employees;138603.0;180822.0;191126.0;184940.0;158.0;115.0;106.0;114.0;"]60% ; 70%]";"]50% ; 60%]";"]50% ; 60%]";"]50% ; 60%]"
China Electronics;profits_m;138.0;-97.0;-158.0;-501.0;420.0;422.0;468.0;468.0;"]90% ; 100%]";<=0;<=0;<=0
China Electronics;revenues_m;32447.0;35931.0;43118.0;40326.0;384.0;334.0;324.0;366.0;"]90% ; 100%]";"]80% ; 90%]";"]80% ; 90%]";"]80% ; 90%]"
China Electronics Technology Group;assets_m;57865.0;69212.0;85806.0;86146.0;312.0;302.0;272.0;264.0;"]90% ; 100%]";"]90% ; 100%]";"]90% ; 100%]";"]90% ; 100%]"
China Electronics Technology Group;employees;177443.0;179390.0;202561.0;235912.0;118.0;116.0;98.0;80.0;"]50% ; 60%]";"]50% ; 60%]";"]50% ; 60%]";"]40% ; 50%]"
China Electronics Technology Group;profits_m;1743.0;1880.0;2152.0;2665.0;272.0;227.0;288.0;246.0;"]90% ; 100%]";"]90% ; 100%]";"]90% ; 100%]";"]90% ; 100%]"
China Electronics Technology Group;revenues_m;32948.0;34311.0;55457.0;55848.0;379.0;354.0;233.0;251.0;"]80% ; 90%]";"]80% ; 90%]";"]70% ; 80%]";"]70% ; 80%]"
China Energy Engineering Group;assets_m;61054.0;73015.0;85423.0;98548.0;303.0;291.0;274.0;231.0;"]90% ; 100%]";"]90% ; 100%]";"]90% ; 100%]";"]90% ; 100%]"
China Energy Engineering Group;employees;122560.0;120963.0;119574.0;116263.0;189.0;186.0;189.0;194.0;"]70% ; 80%]";"]70% ; 80%]";"]70% ; 80%]";"]70% ; 80%]"
China Energy Engineering Group;profits_m;395.0;508.0;600.0;545.0;389.0;355.0;405.0;391.0;"]90% ; 100%]";"]90% ; 100%]";"]90% ; 100%]";"]90% ; 100%]"
China Energy Engineering Group;revenues_m;36111.0;39439.0;50345.0;54890.0;351.0;301.0;269.0;255.0;"]80% ; 90%]";"]80% ; 90%]";"]70% ; 80%]";"]70% ; 80%]"
China Energy Investment;assets_m;251272.0;274035.0;298736.0;281587.0;121.0;116.0;110.0;99.0;"]70% ; 80%]";"]70% ; 80%]";"]70% ; 80%]";"]70% ; 80%]"
China Energy Investment;employees;331373.0;326641.0;317168.0;310753.0;40.0;40.0;45.0;51.0;"]30% ; 40%]";"]30% ; 40%]";"]30% ; 40%]";"]30% ; 40%]"
China Energy Investment;profits_m;4264.0;4102.0;5452.0;5699.0;140.0;125.0;167.0;145.0;"]70% ; 80%]";"]70% ; 80%]";"]70% ; 80%]";"]70% ; 80%]"
China Energy Investment;revenues_m;80498.0;80716.0;107095.0;121584.0;108.0;101.0;85.0;76.0;"]40% ; 50%]";"]40% ; 50%]";"]40% ; 50%]";"]40% ; 50%]"
China Everbright Group;assets_m;748020.0;907879.0;1027704.0;0.0;47.0;45.0;40.0;0.0;"]50% ; 60%]";"]50% ; 60%]";"]50% ; 60%]";na_class
China Everbright Group;employees;79800.0;78600.0;95000.0;0.0;291.0;284.0;246.0;0.0;"]80% ; 90%]";"]80% ; 90%]";"]80% ; 90%]";na_class
China Everbright Group;profits_m;1990.0;2571.0;3708.0;0.0;250.0;190.0;223.0;0.0;"]90% ; 100%]";"]80% ; 90%]";"]80% ; 90%]";na_class
China Everbright Group;revenues_m;46957.0;53429.0;61194.0;0.0;253.0;194.0;210.0;0.0;"]70% ; 80%]";"]60% ; 70%]";"]60% ; 70%]";na_class
China Evergrande Group;assets_m;316778.0;352668.0;0.0;0.0;98.0;88.0;0.0;0.0;"]70% ; 80%]";"]70% ; 80%]";na_class;na_class
China Evergrande Group;employees;133123.0;123276.0;0.0;0.0;168.0;181.0;0.0;0.0;"]60% ; 70%]";"]70% ; 80%]";na_class;na_class
China Evergrande Group;profits_m;2501.0;1170.0;0.0;0.0;225.0;291.0;0.0;0.0;"]80% ; 90%]";"]90% ; 100%]";na_class;na_class
China Evergrande Group;revenues_m;69127.0;73514.0;0.0;0.0;152.0;122.0;0.0;0.0;"]50% ; 60%]";"]50% ; 60%]";na_class;na_class
China FAW Group;assets_m;70354.0;74933.0;94471.0;86465.0;281.0;283.0;255.0;262.0;"]90% ; 100%]";"]90% ; 100%]";"]90% ; 100%]";"]90% ; 100%]"
China FAW Group;employees;129580.0;121002.0;118648.0;119487.0;178.0;185.0;192.0;186.0;"]70% ; 80%]";"]70% ; 80%]";"]70% ; 80%]";"]70% ; 80%]"
China FAW Group;profits_m;2848.0;2867.0;3600.0;3846.0;211.0;179.0;229.0;206.0;"]80% ; 90%]";"]80% ; 90%]";"]80% ; 90%]";"]80% ; 90%]"
China FAW Group;revenues_m;89417.0;101076.0;109405.0;87679.0;89.0;66.0;79.0;131.0;"]40% ; 50%]";"]30% ; 40%]";"]40% ; 50%]";"]50% ; 60%]"
China General Technology;assets_m;28310.0;34593.0;0.0;0.0;440.0;428.0;0.0;0.0;"]90% ; 100%]";"]90% ; 100%]";na_class;na_class
China General Technology;employees;43197.0;52945.0;0.0;0.0;384.0;352.0;0.0;0.0;"]90% ; 100%]";"]90% ; 100%]";na_class;na_class
China General Technology;profits_m;490.0;558.0;0.0;0.0;379.0;348.0;0.0;0.0;"]90% ; 100%]";"]90% ; 100%]";na_class;na_class
China General Technology;revenues_m;26559.0;28379.0;0.0;0.0;474.0;429.0;0.0;0.0;"]90% ; 100%]";"]90% ; 100%]";na_class;na_class
China Huadian;assets_m;118038.0;131961.0;149250.0;148926.0;214.0;205.0;190.0;178.0;"]80% ; 90%]";"]80% ; 90%]";"]80% ; 90%]";"]80% ; 90%]"
China Huadian;employees;94790.0;93331.0;92217.0;92857.0;252.0;248.0;250.0;245.0;"]80% ; 90%]";"]80% ; 90%]";"]80% ; 90%]";"]80% ; 90%]"
China Huadian;profits_m;310.0;585.0;374.0;1021.0;399.0;343.0;433.0;348.0;"]90% ; 100%]";"]90% ; 100%]";"]90% ; 100%]";"]90% ; 100%]"
China Huadian;revenues_m;33808.0;34440.0;42855.0;45113.0;368.0;352.0;326.0;321.0;"]80% ; 90%]";"]80% ; 90%]";"]80% ; 90%]";"]80% ; 90%]"
China Huaneng Group;assets_m;161663.0;181995.0;210935.0;205184.0;165.0;161.0;140.0;131.0;"]80% ; 90%]";"]80% ; 90%]";"]80% ; 90%]";"]80% ; 90%]"
China Huaneng Group;employees;130764.0;128560.0;125365.0;124588.0;173.0;172.0;177.0;179.0;"]70% ; 80%]";"]70% ; 80%]";"]70% ; 80%]";"]70% ; 80%]"
China Huaneng Group;profits_m;187.0;312.0;682.0;1125.0;413.0;378.0;396.0;339.0;"]90% ; 100%]";"]90% ; 100%]";"]90% ; 100%]";"]90% ; 100%]"
China Huaneng Group;revenues_m;44502.0;45750.0;60049.0;63284.0;266.0;248.0;215.0;208.0;"]70% ; 80%]";"]70% ; 80%]";"]60% ; 70%]";"]60% ; 70%]"
China Life Insurance;assets_m;648393.0;776309.0;903090.0;888306.0;53.0;51.0;45.0;41.0;"]50% ; 60%]";"]60% ; 70%]";"]50% ; 60%]";"]50% ; 60%]"
China Life Insurance;employees;180401.0;183417.0;182646.0;180619.0;114.0;110.0;113.0;119.0;"]50% ; 60%]";"]50% ; 60%]";"]50% ; 60%]";"]60% ; 70%]"
China Life Insurance;profits_m;4660.0;4648.0;3087.0;6859.0;121.0;110.0;247.0;121.0;"]70% ; 80%]";"]70% ; 80%]";"]90% ; 100%]";"]70% ; 80%]"
China Life Insurance;revenues_m;131244.0;144589.0;157095.0;151487.0;45.0;32.0;40.0;54.0;"]20% ; 30%]";"]20% ; 30%]";"]20% ; 30%]";"]30% ; 40%]"
China Merchants Bank;assets_m;1064823.0;1281448.0;1456057.0;1470004.0;31.0;28.0;27.0;26.0;"]40% ; 50%]";"]40% ; 50%]";"]40% ; 50%]";"]40% ; 50%]"
China Merchants Bank;employees;84683.0;90867.0;103669.0;112999.0;277.0;255.0;221.0;201.0;"]80% ; 90%]";"]80% ; 90%]";"]70% ; 80%]";"]70% ; 80%]"
China Merchants Bank;profits_m;13443.0;14108.0;18592.0;20517.0;32.0;26.0;36.0;28.0;"]30% ; 40%]";"]30% ; 40%]";"]40% ; 50%]";"]30% ; 40%]"
China Merchants Bank;revenues_m;57252.0;60433.0;71064.0;72317.0;189.0;162.0;174.0;179.0;"]60% ; 70%]";"]50% ; 60%]";"]60% ; 70%]";"]60% ; 70%]"
China Merchants Group;assets_m;277918.0;340741.0;394950.0;381608.0;110.0;93.0;79.0;72.0;"]70% ; 80%]";"]70% ; 80%]";"]70% ; 80%]";"]70% ; 80%]"
China Merchants Group;employees;157635.0;246002.0;264161.0;276019.0;133.0;71.0;66.0;60.0;"]60% ; 70%]";"]40% ; 50%]";"]40% ; 50%]";"]40% ; 50%]"
China Merchants Group;profits_m;5233.0;5919.0;8526.0;8474.0;110.0;82.0;96.0;90.0;"]60% ; 70%]";"]60% ; 70%]";"]60% ; 70%]";"]60% ; 70%]"
China Merchants Group;revenues_m;49126.0;60281.0;76767.0;73283.0;235.0;163.0;152.0;175.0;"]70% ; 80%]";"]50% ; 60%]";"]50% ; 60%]";"]60% ; 70%]"
China Minmetals;assets_m;133442.0;150652.0;158044.0;153155.0;190.0;184.0;179.0;176.0;"]80% ; 90%]";"]80% ; 90%]";"]80% ; 90%]";"]80% ; 90%]"
China Minmetals;employees;199486.0;205015.0;193965.0;183298.0;98.0;99.0;105.0;115.0;"]50% ; 60%]";"]50% ; 60%]";"]50% ; 60%]";"]50% ; 60%]"
China Minmetals;profits_m;230.0;491.0;617.0;877.0;405.0;357.0;400.0;364.0;"]90% ; 100%]";"]90% ; 100%]";"]90% ; 100%]";"]90% ; 100%]"
China Minmetals;revenues_m;88357.0;102015.0;131800.0;133541.0;92.0;65.0;58.0;65.0;"]40% ; 50%]";"]30% ; 40%]";"]30% ; 40%]";"]30% ; 40%]"
China Minsheng Banking;assets_m;959249.0;1065170.0;1094565.0;1051974.0;38.0;40.0;38.0;36.0;"]50% ; 60%]";"]50% ; 60%]";"]50% ; 60%]";"]50% ; 60%]"
China Minsheng Banking;employees;58933.0;59262.0;60232.0;62615.0;341.0;337.0;330.0;327.0;"]90% ; 100%]";"]90% ; 100%]";"]90% ; 100%]";"]90% ; 100%]"
